,areaType,areaName,areaCode,date,New Cases,cumCasesBySpecimenDate,rollingNewCases
0,overview,United Kingdom,K02000001,2021-02-21,6813,4131997,
1,overview,United Kingdom,K02000001,2021-02-20,7617,4125184,
2,overview,United Kingdom,K02000001,2021-02-19,10273,4117567,
3,overview,United Kingdom,K02000001,2021-02-18,11367,4107294,10629.0
4,overview,United Kingdom,K02000001,2021-02-17,11518,4095927,10913.0
5,overview,United Kingdom,K02000001,2021-02-16,12501,4084409,11079.0
6,overview,United Kingdom,K02000001,2021-02-15,14316,4071908,11354.0
7,overview,United Kingdom,K02000001,2021-02-14,8799,4057592,11560.0
8,overview,United Kingdom,K02000001,2021-02-13,8782,4048793,11849.0
9,overview,United Kingdom,K02000001,2021-02-12,12198,4040011,12041.0
10,overview,United Kingdom,K02000001,2021-02-11,12809,4027813,12251.0
11,overview,United Kingdom,K02000001,2021-02-10,13537,4015004,12625.0
12,overview,United Kingdom,K02000001,2021-02-09,13844,4001467,13081.0
13,overview,United Kingdom,K02000001,2021-02-08,15790,3987623,13609.0
14,overview,United Kingdom,K02000001,2021-02-07,11415,3971833,14355.0
15,overview,United Kingdom,K02000001,2021-02-06,11972,3960418,15200.0
16,overview,United Kingdom,K02000001,2021-02-05,15899,3948446,16047.0
17,overview,United Kingdom,K02000001,2021-02-04,18029,3932547,16992.0
18,overview,United Kingdom,K02000001,2021-02-03,19448,3914518,17567.0
19,overview,United Kingdom,K02000001,2021-02-02,19773,3895070,18239.0
20,overview,United Kingdom,K02000001,2021-02-01,22411,3875297,19084.0
21,overview,United Kingdom,K02000001,2021-01-31,15434,3852886,19952.0
22,overview,United Kingdom,K02000001,2021-01-30,16678,3837452,20850.0
23,overview,United Kingdom,K02000001,2021-01-29,21815,3820774,21888.0
24,overview,United Kingdom,K02000001,2021-01-28,24107,3798959,22970.0
25,overview,United Kingdom,K02000001,2021-01-27,25733,3774852,23222.0
26,overview,United Kingdom,K02000001,2021-01-26,27037,3749119,23963.0
27,overview,United Kingdom,K02000001,2021-01-25,29989,3722082,25076.0
28,overview,United Kingdom,K02000001,2021-01-24,17197,3692093,26162.0
29,overview,United Kingdom,K02000001,2021-01-23,21862,3674896,27510.0
30,overview,United Kingdom,K02000001,2021-01-22,29606,3653034,29296.0
31,overview,United Kingdom,K02000001,2021-01-21,31713,3623428,31418.0
32,overview,United Kingdom,K02000001,2021-01-20,35165,3591715,33085.0
33,overview,United Kingdom,K02000001,2021-01-19,39540,3556550,34326.0
34,overview,United Kingdom,K02000001,2021-01-18,44840,3517010,35873.0
35,overview,United Kingdom,K02000001,2021-01-17,28872,3472170,37404.0
36,overview,United Kingdom,K02000001,2021-01-16,30545,3443298,38872.0
37,overview,United Kingdom,K02000001,2021-01-15,40437,3412753,40286.0
38,overview,United Kingdom,K02000001,2021-01-14,42427,3372316,42052.0
39,overview,United Kingdom,K02000001,2021-01-13,45440,3329889,43122.0
40,overview,United Kingdom,K02000001,2021-01-12,49441,3284449,44342.0
41,overview,United Kingdom,K02000001,2021-01-11,57201,3235008,45288.0
42,overview,United Kingdom,K02000001,2021-01-10,36360,3177807,46651.0
43,overview,United Kingdom,K02000001,2021-01-09,39089,3141447,48363.0
44,overview,United Kingdom,K02000001,2021-01-08,47058,3102358,50609.0
45,overview,United Kingdom,K02000001,2021-01-07,51965,3055300,53319.0
46,overview,United Kingdom,K02000001,2021-01-06,57429,3003335,56010.0
47,overview,United Kingdom,K02000001,2021-01-05,65160,2945906,59059.0
48,overview,United Kingdom,K02000001,2021-01-04,76174,2880746,56884.0
49,overview,United Kingdom,K02000001,2021-01-03,55193,2804572,57005.0
50,overview,United Kingdom,K02000001,2021-01-02,60431,2749379,58918.0
51,overview,United Kingdom,K02000001,2021-01-01,31839,2688948,61259.0
52,overview,United Kingdom,K02000001,2020-12-31,52812,2657109,56891.0
53,overview,United Kingdom,K02000001,2020-12-30,70817,2604297,55828.0
