,areaType,areaName,areaCode,date,New Deaths,cumDeaths28DaysByDeathDate,rollingNewDeaths
0,overview,United Kingdom,K02000001,2021-02-22,93,121304.0,
1,overview,United Kingdom,K02000001,2021-02-21,198,121211.0,
2,overview,United Kingdom,K02000001,2021-02-20,226,121013.0,
3,overview,United Kingdom,K02000001,2021-02-19,286,120787.0,276.0
4,overview,United Kingdom,K02000001,2021-02-18,346,120501.0,330.0
5,overview,United Kingdom,K02000001,2021-02-17,379,120155.0,366.0
6,overview,United Kingdom,K02000001,2021-02-16,401,119776.0,401.0
7,overview,United Kingdom,K02000001,2021-02-15,476,119375.0,430.0
8,overview,United Kingdom,K02000001,2021-02-14,450,118899.0,460.0
9,overview,United Kingdom,K02000001,2021-02-13,466,118449.0,490.0
10,overview,United Kingdom,K02000001,2021-02-12,492,117983.0,518.0
11,overview,United Kingdom,K02000001,2021-02-11,558,117491.0,546.0
12,overview,United Kingdom,K02000001,2021-02-10,589,116933.0,570.0
13,overview,United Kingdom,K02000001,2021-02-09,597,116344.0,602.0
14,overview,United Kingdom,K02000001,2021-02-08,669,115747.0,638.0
15,overview,United Kingdom,K02000001,2021-02-07,622,115078.0,659.0
16,overview,United Kingdom,K02000001,2021-02-06,689,114456.0,696.0
17,overview,United Kingdom,K02000001,2021-02-05,740,113767.0,732.0
18,overview,United Kingdom,K02000001,2021-02-04,707,113027.0,761.0
19,overview,United Kingdom,K02000001,2021-02-03,851,112320.0,799.0
20,overview,United Kingdom,K02000001,2021-02-02,845,111469.0,830.0
21,overview,United Kingdom,K02000001,2021-02-01,876,110624.0,876.0
22,overview,United Kingdom,K02000001,2021-01-31,887,109748.0,932.0
23,overview,United Kingdom,K02000001,2021-01-30,904,108861.0,969.0
24,overview,United Kingdom,K02000001,2021-01-29,1061,107957.0,999.0
25,overview,United Kingdom,K02000001,2021-01-28,1103,106896.0,1039.0
26,overview,United Kingdom,K02000001,2021-01-27,1107,105793.0,1077.0
27,overview,United Kingdom,K02000001,2021-01-26,1053,104686.0,1113.0
28,overview,United Kingdom,K02000001,2021-01-25,1161,103633.0,1138.0
29,overview,United Kingdom,K02000001,2021-01-24,1150,102472.0,1156.0
30,overview,United Kingdom,K02000001,2021-01-23,1155,101322.0,1182.0
31,overview,United Kingdom,K02000001,2021-01-22,1238,100167.0,1226.0
32,overview,United Kingdom,K02000001,2021-01-21,1230,98929.0,1245.0
33,overview,United Kingdom,K02000001,2021-01-20,1288,97699.0,1260.0
34,overview,United Kingdom,K02000001,2021-01-19,1360,96411.0,1281.0
35,overview,United Kingdom,K02000001,2021-01-18,1291,95051.0,1279.0
36,overview,United Kingdom,K02000001,2021-01-17,1261,93760.0,1276.0
37,overview,United Kingdom,K02000001,2021-01-16,1300,92499.0,1265.0
38,overview,United Kingdom,K02000001,2021-01-15,1225,91199.0,1243.0
39,overview,United Kingdom,K02000001,2021-01-14,1210,89974.0,1220.0
40,overview,United Kingdom,K02000001,2021-01-13,1211,88764.0,1195.0
41,overview,United Kingdom,K02000001,2021-01-12,1203,87553.0,1155.0
42,overview,United Kingdom,K02000001,2021-01-11,1127,86350.0,1120.0
43,overview,United Kingdom,K02000001,2021-01-10,1092,85223.0,1088.0
44,overview,United Kingdom,K02000001,2021-01-09,1015,84131.0,1048.0
45,overview,United Kingdom,K02000001,2021-01-08,981,83116.0,1005.0
46,overview,United Kingdom,K02000001,2021-01-07,990,82135.0,964.0
47,overview,United Kingdom,K02000001,2021-01-06,930,81145.0,915.0
48,overview,United Kingdom,K02000001,2021-01-05,903,80215.0,878.0
49,overview,United Kingdom,K02000001,2021-01-04,837,79312.0,844.0
50,overview,United Kingdom,K02000001,2021-01-03,752,78475.0,809.0
51,overview,United Kingdom,K02000001,2021-01-02,752,77723.0,780.0
52,overview,United Kingdom,K02000001,2021-01-01,743,76971.0,744.0
53,overview,United Kingdom,K02000001,2020-12-31,749,76228.0,721.0
54,overview,United Kingdom,K02000001,2020-12-30,721,75479.0,706.0
